REF_DATE,GEO,Age (15C),Gender (3),Statistics (2),Coordinate,Immigrant status and period of immigration (9),Symbol,Non-immigrants[2],Symbol,Immigrants[3],Symbol,Before 2001[4],Symbol,2001 to 2005[5],Symbol,2006 to 2010[6],Symbol,2011 to 2015[7],Symbol,2016 to 2021[8],Symbol,Non-permanent residents[9],Symbol
2021,"Sorel-Tracy (CA), Que.",20 to 24 years,Women+,2021 Counts,51.6.3.1,805,,790,,20,,0,,0,,0,,0,,10,,0,
2021,"Sorel-Tracy (CA), Que.",20 to 24 years,Women+,% distribution (2021),51.6.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Total - Gender,2021 Counts,51.7.1.1,20130,,19425,,600,,240,,80,,110,,100,,65,,105,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Total - Gender,% distribution (2021),51.7.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Men+,2021 Counts,51.7.2.1,10150,,9835,,265,,125,,35,,35,,40,,25,,55,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Men+,% distribution (2021),51.7.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Women+,2021 Counts,51.7.3.1,9975,,9590,,335,,110,,50,,75,,60,,45,,50,
2021,"Sorel-Tracy (CA), Que.",25 to 64 years,Women+,% distribution (2021),51.7.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Total - Gender,2021 Counts,51.8.1.1,13065,,12515,,450,,130,,55,,100,,90,,60,,105,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Total - Gender,% distribution (2021),51.8.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Men+,2021 Counts,51.8.2.1,6725,,6475,,195,,70,,25,,35,,35,,25,,55,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Men+,% distribution (2021),51.8.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Women+,2021 Counts,51.8.3.1,6340,,6040,,250,,60,,35,,65,,60,,40,,50,
2021,"Sorel-Tracy (CA), Que.",25 to 54 years,Women+,% distribution (2021),51.8.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Total - Gender,2021 Counts,51.9.1.1,3850,,3710,,95,,20,,15,,20,,10,,30,,50,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Total - Gender,% distribution (2021),51.9.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Men+,2021 Counts,51.9.2.1,1955,,1895,,50,,15,,10,,15,,0,,10,,20,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Men+,% distribution (2021),51.9.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Women+,2021 Counts,51.9.3.1,1890,,1815,,40,,0,,0,,0,,0,,20,,35,
2021,"Sorel-Tracy (CA), Que.",25 to 34 years,Women+,% distribution (2021),51.9.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Total - Gender,2021 Counts,51.10.1.1,4625,,4405,,180,,35,,10,,35,,75,,20,,45,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Total - Gender,% distribution (2021),51.10.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Men+,2021 Counts,51.10.2.1,2355,,2275,,55,,20,,0,,0,,30,,10,,25,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Men+,% distribution (2021),51.10.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Women+,2021 Counts,51.10.3.1,2265,,2130,,120,,15,,0,,35,,45,,15,,20,
2021,"Sorel-Tracy (CA), Que.",35 to 44 years,Women+,% distribution (2021),51.10.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Total - Gender,2021 Counts,51.11.1.1,4590,,4405,,175,,75,,35,,45,,10,,15,,10,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Total - Gender,% distribution (2021),51.11.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Men+,2021 Counts,51.11.2.1,2410,,2310,,85,,35,,15,,25,,0,,10,,10,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Men+,% distribution (2021),51.11.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Women+,2021 Counts,51.11.3.1,2185,,2095,,90,,35,,20,,20,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",45 to 54 years,Women+,% distribution (2021),51.11.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Total - Gender,2021 Counts,51.12.1.1,7065,,6910,,155,,110,,25,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Total - Gender,% distribution (2021),51.12.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Men+,2021 Counts,51.12.2.1,3430,,3355,,70,,55,,10,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Men+,% distribution (2021),51.12.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Women+,2021 Counts,51.12.3.1,3635,,3555,,85,,55,,10,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",55 to 64 years,Women+,% distribution (2021),51.12.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Total - Gender,2021 Counts,51.13.1.1,11550,,11280,,270,,235,,20,,0,,15,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Total - Gender,% distribution (2021),51.13.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Men+,2021 Counts,51.13.2.1,5535,,5405,,135,,125,,0,,0,,10,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Men+,% distribution (2021),51.13.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Women+,2021 Counts,51.13.3.1,6010,,5880,,135,,115,,15,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 years and over,Women+,% distribution (2021),51.13.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Total - Gender,2021 Counts,51.14.1.1,7010,,6850,,150,,130,,15,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Total - Gender,% distribution (2021),51.14.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Men+,2021 Counts,51.14.2.1,3380,,3305,,75,,70,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Men+,% distribution (2021),51.14.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Women+,2021 Counts,51.14.3.1,3625,,3550,,75,,65,,15,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",65 to 74 years,Women+,% distribution (2021),51.14.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Total - Gender,2021 Counts,51.15.1.1,4545,,4430,,115,,100,,0,,0,,10,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Total - Gender,% distribution (2021),51.15.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Men+,2021 Counts,51.15.2.1,2155,,2100,,55,,55,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Men+,% distribution (2021),51.15.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Women+,2021 Counts,51.15.3.1,2385,,2330,,55,,50,,0,,0,,0,,0,,0,
2021,"Sorel-Tracy (CA), Que.",75 years and over,Women+,% distribution (2021),51.15.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",Total - Age,Total - Gender,2021 Counts,52.1.1.1,26430,,25555,,470,,210,,65,,40,,55,,90,,400,
2021,"Thetford Mines (CA), Que.",Total - Age,Total - Gender,% distribution (2021),52.1.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",Total - Age,Men+,2021 Counts,52.1.2.1,13145,,12650,,235,,95,,45,,25,,25,,40,,265,
2021,"Thetford Mines (CA), Que.",Total - Age,Men+,% distribution (2021),52.1.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",Total - Age,Women+,2021 Counts,52.1.3.1,13280,,12905,,235,,120,,20,,15,,30,,55,,135,
2021,"Thetford Mines (CA), Que.",Total - Age,Women+,% distribution (2021),52.1.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Total - Gender,2021 Counts,52.2.1.1,3845,,3760,,20,,0,,0,,0,,0,,15,,65,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Total - Gender,% distribution (2021),52.2.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Men+,2021 Counts,52.2.2.1,1960,,1915,,10,,0,,0,,0,,0,,10,,40,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Men+,% distribution (2021),52.2.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Women+,2021 Counts,52.2.3.1,1885,,1850,,15,,0,,0,,0,,0,,10,,20,
2021,"Thetford Mines (CA), Que.",0 to 14 years,Women+,% distribution (2021),52.2.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 years and over,Total - Gender,2021 Counts,52.3.1.1,22585,,21800,,450,,210,,65,,40,,55,,75,,335,
2021,"Thetford Mines (CA), Que.",15 years and over,Total - Gender,% distribution (2021),52.3.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 years and over,Men+,2021 Counts,52.3.2.1,11190,,10740,,225,,95,,45,,25,,25,,30,,220,
2021,"Thetford Mines (CA), Que.",15 years and over,Men+,% distribution (2021),52.3.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 years and over,Women+,2021 Counts,52.3.3.1,11395,,11055,,225,,120,,20,,15,,30,,45,,115,
2021,"Thetford Mines (CA), Que.",15 years and over,Women+,% distribution (2021),52.3.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Total - Gender,2021 Counts,52.4.1.1,2295,,2205,,25,,0,,0,,0,,10,,10,,70,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Total - Gender,% distribution (2021),52.4.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Men+,2021 Counts,52.4.2.1,1200,,1145,,10,,0,,0,,0,,0,,0,,40,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Men+,% distribution (2021),52.4.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Women+,2021 Counts,52.4.3.1,1100,,1055,,15,,0,,0,,0,,0,,10,,30,
2021,"Thetford Mines (CA), Que.",15 to 24 years,Women+,% distribution (2021),52.4.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Total - Gender,2021 Counts,52.5.1.1,1150,,1130,,15,,0,,0,,0,,10,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Total - Gender,% distribution (2021),52.5.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Men+,2021 Counts,52.5.2.1,640,,635,,10,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Men+,% distribution (2021),52.5.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Women+,2021 Counts,52.5.3.1,510,,500,,10,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",15 to 19 years,Women+,% distribution (2021),52.5.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Total - Gender,2021 Counts,52.6.1.1,1150,,1075,,0,,0,,0,,0,,0,,0,,65,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Total - Gender,% distribution (2021),52.6.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Men+,2021 Counts,52.6.2.1,560,,515,,0,,0,,0,,0,,0,,0,,40,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Men+,% distribution (2021),52.6.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Women+,2021 Counts,52.6.3.1,590,,560,,0,,0,,0,,0,,0,,0,,25,
2021,"Thetford Mines (CA), Que.",20 to 24 years,Women+,% distribution (2021),52.6.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Total - Gender,2021 Counts,52.7.1.1,12800,,12200,,335,,125,,55,,40,,45,,65,,265,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Total - Gender,% distribution (2021),52.7.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Men+,2021 Counts,52.7.2.1,6485,,6125,,175,,65,,35,,25,,20,,30,,185,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Men+,% distribution (2021),52.7.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Women+,2021 Counts,52.7.3.1,6315,,6070,,155,,55,,20,,15,,25,,35,,85,
2021,"Thetford Mines (CA), Que.",25 to 64 years,Women+,% distribution (2021),52.7.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Total - Gender,2021 Counts,52.8.1.1,8400,,7865,,280,,95,,40,,35,,45,,65,,265,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Total - Gender,% distribution (2021),52.8.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Men+,2021 Counts,52.8.2.1,4285,,3945,,160,,55,,30,,25,,20,,30,,185,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Men+,% distribution (2021),52.8.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Women+,2021 Counts,52.8.3.1,4115,,3920,,120,,40,,10,,10,,25,,35,,80,
2021,"Thetford Mines (CA), Que.",25 to 54 years,Women+,% distribution (2021),52.8.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Total - Gender,2021 Counts,52.9.1.1,2645,,2400,,70,,0,,15,,15,,10,,25,,175,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Total - Gender,% distribution (2021),52.9.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Men+,2021 Counts,52.9.2.1,1355,,1205,,35,,0,,10,,10,,0,,10,,110,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Men+,% distribution (2021),52.9.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Women+,2021 Counts,52.9.3.1,1290,,1195,,30,,0,,0,,0,,0,,15,,60,
2021,"Thetford Mines (CA), Que.",25 to 34 years,Women+,% distribution (2021),52.9.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Total - Gender,2021 Counts,52.10.1.1,2940,,2740,,130,,30,,20,,20,,30,,35,,75,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Total - Gender,% distribution (2021),52.10.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Men+,2021 Counts,52.10.2.1,1530,,1405,,55,,10,,10,,15,,0,,20,,65,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Men+,% distribution (2021),52.10.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Women+,2021 Counts,52.10.3.1,1415,,1335,,70,,20,,10,,0,,20,,20,,10,
2021,"Thetford Mines (CA), Que.",35 to 44 years,Women+,% distribution (2021),52.10.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Total - Gender,2021 Counts,52.11.1.1,2820,,2725,,85,,60,,0,,0,,15,,0,,15,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Total - Gender,% distribution (2021),52.11.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Men+,2021 Counts,52.11.2.1,1405,,1335,,70,,45,,0,,0,,15,,0,,0,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Men+,% distribution (2021),52.11.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Women+,2021 Counts,52.11.3.1,1410,,1385,,20,,20,,0,,0,,0,,0,,10,
2021,"Thetford Mines (CA), Que.",45 to 54 years,Women+,% distribution (2021),52.11.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Total - Gender,2021 Counts,52.12.1.1,4395,,4340,,50,,30,,15,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Total - Gender,% distribution (2021),52.12.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Men+,2021 Counts,52.12.2.1,2200,,2180,,15,,10,,10,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Men+,% distribution (2021),52.12.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Women+,2021 Counts,52.12.3.1,2195,,2155,,35,,20,,10,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",55 to 64 years,Women+,% distribution (2021),52.12.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Total - Gender,2021 Counts,52.13.1.1,7490,,7395,,95,,90,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Total - Gender,% distribution (2021),52.13.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Men+,2021 Counts,52.13.2.1,3505,,3470,,40,,35,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Men+,% distribution (2021),52.13.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Women+,2021 Counts,52.13.3.1,3985,,3930,,60,,60,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 years and over,Women+,% distribution (2021),52.13.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Total - Gender,2021 Counts,52.14.1.1,4515,,4470,,50,,50,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Total - Gender,% distribution (2021),52.14.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Men+,2021 Counts,52.14.2.1,2220,,2200,,20,,15,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Men+,% distribution (2021),52.14.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Women+,2021 Counts,52.14.3.1,2295,,2265,,30,,30,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",65 to 74 years,Women+,% distribution (2021),52.14.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Total - Gender,2021 Counts,52.15.1.1,2975,,2930,,45,,45,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Total - Gender,% distribution (2021),52.15.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Men+,2021 Counts,52.15.2.1,1280,,1265,,20,,20,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Men+,% distribution (2021),52.15.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Women+,2021 Counts,52.15.3.1,1690,,1660,,25,,25,,0,,0,,0,,0,,0,
2021,"Thetford Mines (CA), Que.",75 years and over,Women+,% distribution (2021),52.15.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Total - Gender,2021 Counts,53.1.1.1,155535,,146760,,6355,,1515,,750,,1180,,1445,,1455,,2415,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Total - Gender,% distribution (2021),53.1.1.2,0.4,,0.4,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Men+,2021 Counts,53.1.2.1,76725,,72135,,3215,,755,,395,,565,,800,,705,,1375,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Men+,% distribution (2021),53.1.2.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Women+,2021 Counts,53.1.3.1,78810,,74625,,3145,,765,,360,,615,,650,,755,,1040,
2021,"Trois-Rivières (CMA), Que.",Total - Age,Women+,% distribution (2021),53.1.3.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Total - Gender,2021 Counts,53.2.1.1,23485,,22560,,705,,0,,0,,65,,225,,415,,220,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Total - Gender,% distribution (2021),53.2.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Men+,2021 Counts,53.2.2.1,12095,,11640,,370,,0,,0,,30,,120,,215,,90,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Men+,% distribution (2021),53.2.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Women+,2021 Counts,53.2.3.1,11390,,10920,,340,,0,,0,,35,,105,,195,,125,
2021,"Trois-Rivières (CMA), Que.",0 to 14 years,Women+,% distribution (2021),53.2.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Total - Gender,2021 Counts,53.3.1.1,132050,,124200,,5655,,1515,,750,,1115,,1225,,1040,,2200,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Total - Gender,% distribution (2021),53.3.1.2,0.4,,0.3,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Men+,2021 Counts,53.3.2.1,64630,,60495,,2845,,755,,395,,535,,680,,485,,1285,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Men+,% distribution (2021),53.3.2.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Women+,2021 Counts,53.3.3.1,67420,,63700,,2810,,765,,360,,580,,550,,555,,910,
2021,"Trois-Rivières (CMA), Que.",15 years and over,Women+,% distribution (2021),53.3.3.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Total - Gender,2021 Counts,53.4.1.1,16415,,14760,,810,,10,,150,,195,,290,,160,,845,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Total - Gender,% distribution (2021),53.4.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Men+,2021 Counts,53.4.2.1,8365,,7465,,410,,0,,70,,105,,150,,95,,490,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Men+,% distribution (2021),53.4.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Women+,2021 Counts,53.4.3.1,8050,,7295,,395,,10,,80,,95,,145,,65,,360,
2021,"Trois-Rivières (CMA), Que.",15 to 24 years,Women+,% distribution (2021),53.4.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Total - Gender,2021 Counts,53.5.1.1,7555,,7000,,430,,0,,85,,95,,155,,90,,125,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Total - Gender,% distribution (2021),53.5.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Men+,2021 Counts,53.5.2.1,3875,,3585,,205,,0,,30,,40,,80,,50,,85,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Men+,% distribution (2021),53.5.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Women+,2021 Counts,53.5.3.1,3680,,3415,,220,,0,,60,,55,,70,,35,,40,
2021,"Trois-Rivières (CMA), Que.",15 to 19 years,Women+,% distribution (2021),53.5.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",20 to 24 years,Total - Gender,2021 Counts,53.6.1.1,8860,,7755,,375,,10,,65,,100,,135,,70,,720,
2021,"Trois-Rivières (CMA), Que.",20 to 24 years,Total - Gender,% distribution (2021),53.6.1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",20 to 24 years,Men+,2021 Counts,53.6.2.1,4490,,3880,,205,,0,,35,,60,,65,,40,,405,
2021,"Trois-Rivières (CMA), Que.",20 to 24 years,Men+,% distribution (2021),53.6.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,"Trois-Rivières (CMA), Que.",20 to 24 years,Women+,2021 Counts,53.6.3.1,4365,,3875,,175,,10,,25,,35,,70,,30,,315,
